A,B,C
42,810,78.31501653
42,822,78.30782742
42,834,78.30104966
42,846,78.29466057
42,858,78.28863716
42,870,78.28295734
42,882,78.27760135
42,894,78.27254725
54,6,77.44222524
54,18,77.44560549
54,30,77.44917642
54,42,77.45295164
54,54,77.45694558
54,66,77.46117555
54,78,77.46565734
54,90,77.47040955
54,102,77.47545285
54,114,77.48080773
54,126,77.48649798
54,138,77.49254725
54,150,77.49898137
54,162,77.505827
54,174,77.51311329
54,186,77.52086857
54,198,77.52912278
54,210,77.53790474
54,222,77.54724497
54,234,77.55716843
54,246,77.56770054
54,258,77.57886012
54,270,77.59066063
54,282,77.60310639
54,294,77.61618937
54,306,77.62988859
54,318,77.64416424
54,330,77.6589533
54,342,77.67417065
54,354,77.68969907
54,366,77.70539125
54,378,77.72106621
54,390,77.73651033
54,402,77.75147788
54,414,77.76569743
54,426,77.77887842
54,438,77.79072359
54,450,77.80094157
54,462,77.80926058
54,474,77.81544765
54,486,77.81932116
54,498,77.8207647
54,510,77.81973267
54,522,77.81625785
54,534,77.81044557
54,546,77.80246671
54,558,77.79254738
54,570,77.78095341
54,582,77.76797432
54,594,77.75390736
54,606,77.7390452
54,618,77.72366243
54,630,77.70801036
54,642,77.69230742
54,654,77.67674081
54,666,77.66146257
54,678,77.64659532
54,690,77.63222922
54,702,77.61843067
54,714,77.60524299
54,726,77.59269015
54,738,77.5807822
54,750,77.56951629
54,762,77.55888107
54,774,77.54885753
54,786,77.53942214
54,798,77.53054889
54,810,77.52220885
54,822,77.51437251
54,834,77.50700993
54,846,77.50009293
54,858,77.4935921
54,870,77.48748075
54,882,77.48173216
54,894,77.47632292
66,6,76.64410093
66,18,76.64765819
66,30,76.65142192
66,42,76.65540785
66,54,76.65963263
66,66,76.66411426
66,78,76.66887262
66,90,76.67392895
66,102,76.67930672
66,114,76.68503073
66,126,76.69112836
66,138,76.6976285
66,150,76.70456282
66,162,76.71196355
66,174,76.71986617
66,186,76.72830783
66,198,76.7373263
66,210,76.74696075
66,222,76.75725089
66,234,76.76823399
66,246,76.77994627
66,258,76.79242028
66,270,76.80568139
66,282,76.81974644
66,294,76.83461947
66,306,76.8502886
66,318,76.86672147
66,330,76.88385804
66,342,76.90160868
66,354,76.91984622
66,366,76.93840308
66,378,76.95706648
66,390,76.97557863
66,402,76.99363597
66,414,77.01089721
66,426,77.02699036
66,438,77.04152791
66,450,77.05412568
66,462,77.06442171
66,474,77.07210175
66,486,77.07692003
66,498,77.07871691
66,510,77.0774321
66,522,77.07310899
66,534,77.06589095
66,546,77.05601078
66,558,77.04377249
66,570,77.02953174
66,582,77.01367092
66,594,76.99657795
66,606,76.97862853
66,618,76.96017
66,630,76.94151269
66,642,76.92292192
66,654,76.90461848
66,666,76.88677682
66,678,76.86953057
66,690,76.85297574
66,702,76.83717638
66,714,76.82216909
66,726,76.80796952
66,738,76.79457521
66,750,76.78197161
66,762,76.77013455
66,774,76.75903225
66,786,76.74862904
66,798,76.73888842
66,810,76.72976976
66,822,76.72123448
66,834,76.71324507
66,846,76.70576286
66,858,76.69875315
66,870,76.69218302
66,882,76.68602032
66,894,76.6802357
78,6,75.84602563
78,18,75.84976604
78,30,75.85372994
78,42,75.85793373
78,54,75.8623973
78,66,75.86714114
78,78,75.87218788
78,90,75.87756162
78,102,75.88328997
78,114,75.88940144
78,126,75.8959287
78,138,75.90290546
78,150,75.91036982
78,162,75.91836209
78,174,75.92692465
78,186,75.93610414
78,198,75.94594834
78,210,75.9565089
78,222,75.96783691
78,234,75.97998481
78,246,75.99300369
78,258,76.00694259
78,270,76.02184476
78,282,76.03774346
78,294,76.05466101
78,306,76.07260047
78,318,76.09154134
78,330,76.11143377
78,342,76.13218795
78,354,76.15366936
78,366,76.17569081
78,378,76.19800557
78,390,76.22030295
78,402,76.24220975
78,414,76.26329507
78,426,76.28308037
78,438,76.30105888
78,450,76.31671789
78,462,76.32957151
78,474,76.3391926
78,486,76.34524197
78,498,76.34750149
78,510,76.3458857
78,522,76.34045638
78,534,76.33141004
78,546,76.31906732
78,558,76.30384345
78,570,76.28621615
78,582,76.26669645
78,594,76.24579345
78,606,76.22399198
78,618,76.20173237
78,630,76.17939711
78,642,76.15730815
78,654,76.13572205
78,666,76.1148359
78,678,76.09479258
78,690,76.07568863
78,702,76.05758031
78,714,76.04049195
78,726,76.02442455
78,738,76.00935825
78,750,75.99526178
78,762,75.9820928
78,774,75.96980312
78,786,75.95834213
78,798,75.94765737
78,810,75.93769741
78,822,75.92841032
78,834,75.91974857
78,846,75.91166401
78,858,75.90411451
78,870,75.89705933
78,882,75.89045954
78,894,75.88428116
90,6,75.04799663
90,18,75.05192518
90,30,75.05609534
90,42,75.06052494
90,54,75.06523551
90,66,75.07025168
90,78,75.07559734
90,90,75.08130232
90,102,75.08739583
90,114,75.09391329
90,126,75.10089143
90,138,75.10837025
90,150,75.11639531
90,162,75.12501489
90,174,75.13428084
90,186,75.14424986
90,198,75.1549832
90,210,75.16654481
90,222,75.17900255
90,234,75.19242583
90,246,75.20688698
90,258,75.22245381
90,270,75.23919339
90,282,75.25716358
90,294,75.27641021
90,306,75.2969603
90,318,75.31881513
90,330,75.3419403
90,342,75.36625624
90,354,75.39162662
90,366,75.41784641
90,378,75.44463322
90,390,75.47161908
90,402,75.49834432
90,414,75.52426587
90,426,75.54876534
90,438,75.57117531
90,450,75.59080829
90,462,75.60700337
90,474,75.61917178
90,486,75.62684425
90,498,75.62971338
90,510,75.6276616
90,522,75.62077316
90,534,75.60932546
90,546,75.59376325
90,558,75.57465876
90,570,75.55266407
90,582,75.52846538
90,594,75.50273636
90,606,75.4761049
90,618,75.44912847
90,630,75.42228026
90,642,75.39594422
90,654,75.37041611
90,666,75.34591325
90,678,75.32258256
90,690,75.30051253
90,702,75.27974431
90,714,75.26028172
90,726,75.24210162
90,738,75.22516049
90,750,75.20940272
90,762,75.19476218
90,774,75.18117083
90,786,75.16855685
90,798,75.15685092
90,810,75.14598396
90,822,75.13589197
90,834,75.12651285
90,846,75.11778922
90,858,75.10966847
90,870,75.10210207
90,882,75.09504334
90,894,75.08845176
102,6,74.25000985
102,18,74.25413296
102,30,74.25851467
102,42,74.26317639
102,54,74.26814244
102,66,74.27343941
102,78,74.27909565
102,90,74.28514332
102,102,74.29161792
102,114,74.29855749
102,126,74.30600696
102,138,74.31401332
102,150,74.32262839
102,162,74.33191035
102,174,74.34192255
102,186,74.35273314
102,198,74.36441829
102,210,74.37705866
102,222,74.39074055
102,234,74.40555546
102,246,74.42159902
102,258,74.43896786
102,270,74.45775726
102,282,74.47805813
102,294,74.49995057
102,306,74.52349594
102,318,74.54872778
102,330,74.57564094
102,342,74.60417726
102,354,74.63420926
102,366,74.66552279
102,378,74.69780223
102,390,74.73061392
102,402,74.76339881
102,414,74.79547087
102,426,74.8260311
102,438,74.85419321
102,450,74.87903102
102,462,74.89963489
102,474,74.91518407
102,486,74.92501842
102,498,74.92870172
102,510,74.92606762
102,522,74.91723479
102,534,74.90259753
102,546,74.88278272
102,558,74.85858885
102,570,74.83091593
102,582,74.80069245
102,594,74.76881387
102,606,74.73609707
102,618,74.70324744
102,630,74.67084572
102,642,74.63934623
102,654,74.60908344
102,666,74.58028682
102,678,74.55309735
102,690,74.52758392
102,702,74.50375848
102,714,74.4815943
102,726,74.4610334
102,738,74.44199843
102,750,74.42439922
102,762,74.40814145
102,774,74.39312855
102,786,74.37926414
102,798,74.3664563
102,810,74.35461791
102,822,74.34366687
102,834,74.33352651
102,846,74.32412757
102,858,74.31540526
102,870,74.30730147
102,882,74.29976246
102,894,74.29274114
114,6,73.45206308
114,18,73.45638402
114,30,73.46098285
114,42,73.46588357
114,54,73.47111268
114,66,73.47669835
114,78,73.48267476
114,90,73.4890773
114,102,73.49594572
114,114,73.50332477
114,126,73.51126528
114,138,73.51982106
114,150,73.5290539
114,162,73.53903241
114,174,73.54983229
114,186,73.56153584
114,198,73.57423555
114,210,73.58803145
114,222,73.6030328
114,234,73.61935759
114,246,73.63712994
114,258,73.65648222
114,270,73.67754798
114,282,73.70046033
114,294,73.72534577
114,306,73.75231409
114,318,73.7814481
114,330,73.81278949
114,342,73.84631952
114,354,73.88193634
114,366,73.91943227
114,378,73.95846536
114,390,73.99853722
114,402,74.03897148
114,414,74.07890786
114,426,74.11731095
114,438,74.15300232
114,450,74.1847193
114,462,74.21119918
114,474,74.23128467
114,486,74.24403312
114,498,74.24881707
114,510,74.24539508
114,522,74.23394023
114,534,74.21501949
114,546,74.18952942
114,558,74.15859911
114,570,74.12348127
114,582,74.08544519
114,594,74.04568799
114,606,74.00527207
114,618,73.96508784
114,630,73.92584239
114,642,73.88806269
114,654,73.85211478
114,666,73.81822756
114,678,73.78651804
114,690,73.75701751
114,702,73.7296932
114,714,73.70446777
114,726,73.68123484
114,738,73.65987062
114,750,73.64024194
114,762,73.62221569
114,774,73.60565832
114,786,73.59044494
114,798,73.57645581
114,810,73.56358083
114,822,73.55171771
114,834,73.54077323
114,846,73.53066323
114,858,73.52131102
114,870,73.51264705
114,882,73.50460794
114,894,73.49713877
126,6,72.65415117
126,18,72.65867493
126,30,72.66349612
126,42,72.66864098
126,54,72.67413886
126,66,72.68002219
126,78,72.68632709
126,90,72.69309409
126,102,72.70036946
126,114,72.70820284
126,126,72.71665133
126,138,72.72577858
126,150,72.73565616
126,162,72.74636359
126,174,72.75798935
126,186,72.77063423
126,198,72.78440788
126,210,72.79943482
126,222,72.81584936
126,234,72.83380122
126,246,72.85345242
126,258,72.87497584
126,270,72.89855422
126,282,72.9243767
126,294,72.95262973
126,306,72.98349174
126,318,73.01711623
126,330,73.05361546
126,342,73.09303702
126,354,73.13533274
126,366,73.18032567
126,378,73.22766818
126,390,73.27680238
126,402,73.32692501
126,414,73.3769651
126,426,73.42558236
126,438,73.4712028
126,450,73.51209598
126,462,73.54648977
126,474,73.57273181
126,486,73.58945725
126,498,73.59574684
126,510,73.59124692
126,522,73.57621151
126,534,73.55147097
126,546,73.51832655
126,558,73.47839472
126,570,73.43343925
126,582,73.38520659
126,594,73.33530389
126,606,73.28511286
126,618,73.23575142
126,630,73.188065
126,642,73.1426514
126,654,73.09988981
126,666,73.05998256
126,678,73.02299754
126,690,72.9889004
126,702,72.95758777
126,714,72.92891163
126,726,72.90269709
126,738,72.87875785
126,750,72.85690477
126,762,72.8369538
126,774,72.81873046
126,786,72.80207035
126,798,72.78682184
126,810,72.77284824
126,822,72.76002312
126,834,72.74823496
126,846,72.73738093
126,858,72.72737063
126,870,72.71812349
126,882,72.70956665
126,894,72.70163483
138,6,71.85626978
138,18,71.86100017
138,30,71.86604823
138,42,71.87144221
138,54,71.87721464
138,66,71.88340134
138,78,71.89004336
138,90,71.8971849
138,102,71.90487729
138,114,71.91317765
138,126,71.92215051
138,138,71.93186802
138,150,71.94241317
138,162,71.95387766
138,174,71.96636619
138,186,71.97999705
138,198,71.99490166
138,210,72.01122989
138,222,72.02914842
138,234,72.04884344
138,246,72.07051929
138,258,72.09440221
138,270,72.12073543
138,282,72.14977704
138,294,72.18179586
138,306,72.21705988
138,318,72.25582197
138,330,72.29829894
138,342,72.34464269
138,354,72.39490032
138,366,72.44896613
138,378,72.50652244
138,390,72.56697618
138,402,72.62939686
138,414,72.69246594
138,426,72.75445896
138,438,72.8132712
138,450,72.86651346
138,462,72.91167842
138,474,72.94637383
138,486,72.96859296
138,498,72.9769703
138,510,72.97097572
138,522,72.95098946
138,534,72.91824844
138,546,72.87466939
138,558,72.82259915
138,570,72.76454353
138,582,72.70292526
138,594,72.63990492
138,606,72.57727358
138,618,72.51641761
138,630,72.45832856
138,642,72.40365251
138,654,72.35274792
138,666,72.30575143
138,678,72.26263836
138,690,72.22327089
138,702,72.18744093
138,714,72.15489923
138,726,72.12538057
138,738,72.09861416
138,750,72.07434008
138,762,72.05231269
138,774,72.03230211
138,786,72.01410119
138,798,71.99752002
138,810,71.98238871
138,822,71.9685554
138,834,71.95588477
138,846,71.94425758
138,858,71.93356583
138,870,71.92371596
138,882,71.91462474
138,894,71.90621678
150,6,71.05841499
150,18,71.06335513
150,30,71.06863334
150,42,71.07428031
150,54,71.0803327
150,66,71.08682881
150,78,71.09381326
150,90,71.10133685
150,102,71.10945601
150,114,71.11823442
150,126,71.12774467
150,138,71.13806926
150,150,71.14930158
150,162,71.16154888
150,174,71.17493137
150,186,71.18958701
150,198,71.20567248
150,210,71.22336796
150,222,71.24287335
150,234,71.26441908
150,246,71.28826094
150,258,71.31468672
150,270,71.34401449
150,282,71.37658993
150,294,71.412785
150,306,71.45298693
150,318,71.49758471
150,330,71.54694372
150,342,71.60137272
150,354,71.66107315
150,366,71.72607581
150,378,71.79615482
150,390,71.8707331
150,402,71.94877354
150,414,72.02868907
150,426,72.10827663
150,438,72.18472772
150,450,72.25473155
150,462,72.31470378
150,474,72.36114184
150,486,72.391047
150,498,72.40235726
150,510,72.39426221
150,522,72.36734348
150,534,72.32347282
150,546,72.26552142
150,558,72.19693783
150,570,72.12132035
150,582,72.04204512
150,594,71.9620143
150,606,71.88353491
150,618,71.80829393
150,630,71.73741372
150,642,71.67154116
150,654,71.61095333
150,666,71.55565617
150,678,71.50547112
150,690,71.46010441
150,702,71.41919645
150,714,71.38236083
150,726,71.34920835
150,738,71.31936434
150,750,71.2924774
150,762,71.26822588
150,774,71.24631612
150,786,71.22648737
150,798,71.20850473
150,810,71.19216416
150,822,71.17728159
150,834,71.16369682
150,846,71.15126922
150,858,71.13987568
150,870,71.12940651
150,882,71.11976645
150,894,71.11087153
162,6,70.26058213
162,18,70.26573462
162,30,70.27124569
162,42,70.27714973
162,54,70.28348451
162,66,70.29029454
162,78,70.29762755
162,90,70.3055394
162,102,70.31409147
162,114,70.32335652
162,126,70.33341482
162,138,70.34435876
162,150,70.3562949
162,162,70.36934381
162,174,70.38364591
162,186,70.39935991
162,198,70.41666995
162,210,70.43578667
162,222,70.456953
162,234,70.48044591
162,246,70.50658253
162,258,70.53572273
162,270,70.56827344
162,282,70.60468949
162,294,70.64547099
162,306,70.69115973
162,318,70.74232488
162,330,70.79953676
162,342,70.86333291
162,354,70.93415308
162,366,71.01225996
162,378,71.09762186
162,390,71.18976757
162,402,71.28762235
162,414,71.38933351
162,426,71.49213409
162,438,71.5922939
162,450,71.68521367
162,462,71.76573621
162,474,71.8286661
162,486,71.86946074
162,498,71.88494317
162,510,71.87385882
162,522,71.83710867
162,534,71.77758084
162,546,71.69963831
162,558,71.60841799
162,570,71.50912534
162,582,71.40648015
162,594,71.30436918
162,606,71.20571989
162,618,71.11252891
162,630,71.02598959
162,642,70.94666153
162,654,70.8746385
162,666,70.80969879
162,678,70.75142511
162,690,70.69929144
162,702,70.65272978
162,714,70.61116913
162,726,70.57406145
162,738,70.54089917
162,750,70.5112203
162,762,70.48460929
162,774,70.46069898
162,786,70.43916496
162,798,70.41972446
162,810,70.40212875
162,822,70.38616223
162,834,70.37163634
162,846,70.3583889
162,858,70.34627618
162,870,70.33517456
162,882,70.32497538
162,894,70.31558434
174,6,69.4627658
174,18,69.46813276
174,30,69.47387886
174,42,69.48004198
174,54,69.48666292
174,66,69.49378973
174,78,69.50147438
174,90,69.50977755
174,102,69.51876863
174,114,69.52852583
174,126,69.53913954
174,138,69.5507119
174,150,69.56336292
174,162,69.57722897
174,174,69.59246853
174,186,69.60926533
174,198,69.62783157
174,210,69.64841424
174,222,69.67129988
174,234,69.69682042
174,246,69.72536124
174,258,69.75736655
174,270,69.79334715
174,282,69.83388774
174,294,69.87964747
174,306,69.9313613
174,318,69.98983182
174,330,70.05590608
174,342,70.13043886
174,354,70.21422519
174,366,70.30789561
174,378,70.4117669
174,390,70.52563609
174,402,70.64852476
174,414,70.778385
174,426,70.91182894
174,438,71.04395379
174,450,71.1683845
174,462,71.27765565
174,474,71.36398538
174,486,71.42038488
174,498,71.44188017
174,510,71.42648596
174,522,71.37562921
174,534,71.29384242
174,546,71.18786044
174,558,71.06541793
174,570,70.93409634
174,582,70.80049006
174,594,70.66975758
174,606,70.54553154
174,618,70.43006627
174,630,70.3244968
174,642,70.229137
174,654,70.14374108
174,666,70.06771824
174,678,70.00029278
174,690,69.94061481
174,702,69.8878319
174,714,69.84113301
174,726,69.79977046
174,738,69.76307238
174,750,69.73044199
174,762,69.70135604
174,774,69.67536073
174,786,69.65206035
174,798,69.63111469
174,810,69.61223051
174,822,69.59515455
174,834,69.57966889
174,846,69.56558556
174,858,69.552742
174,870,69.54099867
174,882,69.53023275
174,894,69.52033933
186,6,68.66496144
186,18,68.67054372
186,30,68.67652697
186,42,68.68295023
186,54,68.68985897
186,66,68.69730377
186,78,68.70534235
186,90,68.71403991
186,102,68.7234718
186,114,68.73372502
186,126,68.74489668
186,138,68.75710228
186,150,68.7704738
186,162,68.78516457
186,174,68.80135266
186,186,68.81924703
186,198,68.83909035
186,210,68.8611677
186,222,68.88581361
186,234,68.91342068
186,246,68.94444858
186,258,68.97943767
186,270,69.01901982
186,282,69.06392919
186,294,69.11501588
186,306,69.173252
186,318,69.23973391
186,330,69.31566842
186,342,69.40234147
186,354,69.50104814
186,366,69.61297745
186,378,69.73902141
186,390,69.87949991
186,402,70.03377909
186,414,70.19980298
186,426,70.3735883
186,438,70.54881557
186,450,70.716704
186,462,70.86642589
186,474,70.98622492
186,486,71.0652113
186,498,71.09546449
186,510,71.07378954
186,522,71.00248538
186,534,70.88878647
186,546,70.74323326
186,558,70.5775778
186,570,70.40290001
186,582,70.22836818
186,594,70.06071546
186,606,69.90428978
186,618,69.76143498
186,630,69.63298718
186,642,69.51875586
186,654,69.41792266
186,666,69.32933288
186,678,69.25169913
186,690,69.18372843
186,702,69.12419727
186,714,69.07199001
186,726,69.02611325
186,738,68.98569716
186,750,68.94998921
186,762,68.91834084
186,774,68.89019775
186,786,68.86508714
186,798,68.84260633
186,810,68.8224118
186,822,68.8042105
186,834,68.78775321
186,846,68.77282619
186,858,68.75924619
186,870,68.74685568
186,882,68.73552031
186,894,68.72512107
198,6,67.86716413
198,18,67.87296258
198,30,67.87918239
198,42,67.88586696
198,54,67.89306381
198,66,67.90082767
198,78,67.90921974
198,90,67.91831191
198,102,67.92818504
198,114,67.93893311
198,126,67.95066367
198,138,67.9635023
198,150,67.97759443
198,162,67.99311066
198,174,68.01024935
198,186,68.02924448
198,198,68.0503708
198,210,68.07395458
198,222,68.10038021
198,234,68.13010428
198,246,68.16366943
198,258,68.20172093
198,270,68.24502394
198,282,68.29448546
198,294,68.35117642
198,306,68.41635201
198,318,68.49146679
198,330,68.57818047
198,342,68.67834144
198,354,68.7939273
198,366,68.92692778
198,378,69.07912599
198,390,69.25174242
198,402,69.44490502
198,414,69.65692647
198,426,69.88343504
198,438,70.11653233
198,450,70.3442866
198,462,70.55103705
198,474,70.71893676
198,486,70.83083926
198,498,70.87395165
198,510,70.84305
198,522,70.74189515
198,534,70.5822089
198,546,70.38067081
198,558,70.15524393
198,570,69.92209827
198,582,69.69383754
198,594,69.47901228
198,606,69.28252808
198,618,69.10645697
198,630,68.95091878
198,642,68.81483258
198,654,68.6964799
198,666,68.59388791
198,678,68.50506586
198,690,68.42813873
198,702,68.36141295
198,714,68.30340046
198,726,68.25281302
198,738,68.20855093
198,750,68.16968054
198,762,68.13541577
198,774,68.10509157
198,786,68.07815017
198,798,68.05412107
198,810,68.03260952
198,822,68.01327949
198,834,67.9958485
198,846,67.98007663
198,858,67.96575965
198,870,67.95272292
198,882,67.94081672
198,894,67.92991289
210,6,67.0693691
210,18,67.07538292
210,30,67.08183961
210,42,67.08878496
210,54,67.09626918
210,66,67.10435083
210,78,67.1130955
210,90,67.12258
210,102,67.13289165
210,114,67.14413177
210,126,67.15641695
210,138,67.16988405
210,150,67.18469101
210,162,67.20102506
210,174,67.21910577
210,186,67.23919344
210,198,67.26159451
210,210,67.28667545
210,222,67.31487444
210,234,67.34671466
210,246,67.3828259
210,258,67.42396492
210,270,67.47104311
210,282,67.52515756
210,294,67.58762815
210,306,67.66003423
210,318,67.74425401
210,330,67.84249745
210,342,67.95731741
210,354,68.09158219
210,366,68.24837854
210,378,68.43078449
210,390,68.64145115
210,402,68.88190137
210,414,69.15148332
210,426,69.44596079
210,438,69.75593498
210,450,70.0655622
210,462,70.35240428
210,474,70.58938371
210,486,70.74933587
210,498,70.81139051
210,510,70.76688719
210,522,70.62206925
210,534,70.39612759
210,546,70.11564302
210,558,69.80809222
210,570,69.49689012
210,582,69.19901572
210,594,68.92487033
210,606,68.67944172
210,618,68.46387349
210,630,68.27692117
210,642,68.1160654
210,654,67.97826301
210,666,67.8604091
210,678,67.75958935
210,690,67.67319499
210,702,67.59895902
210,714,67.53494989
210,726,67.47954082
210,738,67.43137164
210,750,67.38931073
210,762,67.35241789
210,774,67.3199127
210,786,67.29114591
210,798,67.26557753
210,810,67.24275721
210,822,67.22230678
210,834,67.20391056
210,846,67.18730206
210,858,67.17225393
210,870,67.15857548
210,882,67.14610328
210,894,67.13469749
222,6,66.27157058
222,18,66.2777995
222,30,66.28449249
222,42,66.29169655
222,54,66.29946661
222,66,66.30786302
222,78,66.31695721
222,90,66.32683102
222,102,66.33757644
222,114,66.34930187
222,126,66.36213377
222,138,66.37621901
222,150,66.3917292
222,162,66.40886678
222,174,66.42787223
222,186,66.4490295
222,198,66.47267951
222,210,66.49922789
222,222,66.52916574
222,234,66.5630854
222,246,66.60170364
222,258,66.64589384
222,270,66.69672034
222,282,66.75548363
222,294,66.82377232
222,306,66.90352567
222,318,66.99710268
222,330,67.10734971
222,342,67.23766671
222,354,67.39203066
222,366,67.57495117
222,378,67.79128255
222,390,68.04577727
222,402,68.3422397
222,414,68.6820951
222,426,69.06225332
222,438,69.47237968
222,450,69.89218023
222,462,70.29009242
222,474,70.6253589
222,486,70.85498916
222,498,70.94479995
222,510,70.88035006
222,522,70.67206415
222,534,70.35150576
222,546,69.96102995
222,558,69.54238764
222,570,69.12893867
222,582,68.74282975
222,594,68.39588303
